date,sym,action,reason,entry_date,first_cost,exit_price,lots,pnl_pct,pnl_dollar,high_20
2026-08-03,2327,entry,drop_20,,552.0,,1,,,1075.0
2026-08-04,2449,entry,drop_20,,245.5,,1,,,367.5
2026-08-05,6505,entry,drop_20,,67.6,,1,,,97.9
2026-08-06,2303,entry,drop_20,,121.5,,1,,,168.0
2026-08-26,2327,exit,sl,2026-08-03,552.0,537.0,1,-2.717391304347826,-15000.0,
2026-09-09,6505,exit,tp,2026-08-05,67.6,87.5,1,29.43786982248522,19900.0,
2026-09-17,2303,exit,tp,2026-08-06,121.5,147.5,1,21.39917695473251,26000.0,
